Source,Volume_No,Chapter_No,Hadith_No,Chapter,Text
Sahih Bukhari,1,11,590,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Al-Harith: Once on a rainy muddy day, Ibn 'Abbas delivered a sermon in our presence and when the Mu'adhdhin pronounced the Adhan and said, ""Haiya ala-s-sala(t) (come for the prayer)"" Ibn 'Abbas ordered him to say 'Pray at your homes.' The people began to look at each other (surprisingly). Ibn 'Abbas said. ""It was done by one who was much better than I (i.e. the Prophet or his Mu'adhdhin), and it is a license.'"
Sahih Bukhari,1,11,591,Call to Prayer (Adhaan),"Narrated by Salim bin Abdullah: My father said that Allah s Apostle said, ""Bilal pronounces 'Adhan at night, so keep on eating and drinking (Suhur) till Ibn Um Maktum pronounces Adhan."" Salim added, ""He was a blind man who would not pronounce the Adhan unless he was told that the day had dawned."""
Sahih Bukhari,1,11,592,Call to Prayer (Adhaan),Narrated by Hafsa: When the Muadh-dhin pronounced the Adhan for Fajr prayer and the dawn became evident the Prophet ordered a two Rakat light prayer (Sunna) before the Iqama of the compulsory (congregational) prayer.
Sahih Bukhari,1,11,593,Call to Prayer (Adhaan),Narrated by 'Aisha: The Prophet used to offer two light Rakat between the Adhan and the Iqama of the Fajr prayer.
Sahih Bukhari,1,11,594,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin 'Umar: Allah's Apostle said, ""Bilal pronounces the Adhan at night, so keep on eating and drinking (Suhur) till Ibn Um Maktum pronounces the Adhan."""
Sahih Bukhari,1,11,595,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Mas'ud: The Prophet said, ""The Adhan pronounced by Bilal should not stop you from taking Suhur, for he pronounces the Adhan at night, so that the one offering the late night prayer (Tahajjud) from among you might hurry up and the sleeping from among you might wake up. It does not mean that dawn or morning has started."" Then he (the Prophet) pointed with his fingers and raised them up (towards the sky) and then lowered them (towards the earth) like this (Ibn Mas'ud imitated the gesture of the Prophet). Az-Zuhri gestured with his two index fingers which he put on each other and then stretched them to the right and left. These gestures illustrate the way real dawn appears. It spreads left and right horizontally. The dawn that appears in the high sky and lowers down is not the real dawn)."
Sahih Bukhari,1,11,596,Call to Prayer (Adhaan),"Narrated by 'Aisha: The Prophet said, ""Bilal pronounces the Adhan at night, so eat and drink (Suhur) till Ibn Um Maktum pronounces the Adhan."""
Sahih Bukhari,1,11,597,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Mughaffal Al-Muzani: Allah's Apostle said thrice, ""There is a prayer between the two Adhans (Adhan and Iqama),"" and added, ""For the one who wants to pray."""
Sahih Bukhari,1,11,598,Call to Prayer (Adhaan),"Narrated by Anas bin Malik: ""When the Mu'adhdhin pronounced the Adhan, some of the companions of the Prophet would proceed to the pillars of the mosque (for the prayer) till the Prophet arrived and in this way they used to pray two Rakat before the Maghrib prayer. There used to be a little time between the Adhan and the Iqama."" Shu'ba said, ""There used to be a very short interval between the two (Adhan and Iqama)."""
Sahih Bukhari,1,11,599,Call to Prayer (Adhaan),Narrated by 'Aisha: Allah's Apostle used to pray two light Rakat before the morning (compulsory) prayer after the day dawned and the Mu'adhdhin had finished his Adhan. He then would lie on his right side till the Mu'adhdhin came to pronounce the Iqama.
Sahih Bukhari,1,11,600,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Mughaffal: The prophet said, ""There is a prayer between the two Adhans (Adhan and Iqama), there is a prayer between the two Adhans."" And then while saying it the third time he added, ""For the one who wants to (pray)."""
Sahih Bukhari,1,11,601,Call to Prayer (Adhaan),"Narrated by Malik bin Huwairth: I came to the Prophet with some men from my tribe and stayed with him for twenty nights. He was kind and merciful to us. When he realized our longing for our families, he said to us, ""Go back and stay with your families and teach them the religion, and offer the prayer and one of you should pronounce the Adhan for the prayer when its time is due and the oldest one amongst you should lead the prayer."""
Sahih Bukhari,1,11,602,Call to Prayer (Adhaan),"Narrated by Abu Dhar: We were in the company of the Prophet on a journey and the Mu'adhdhin wanted to pronounce the Adhan for the (Zuhr) prayer. The Prophet said to him, ""Let it become cooler."" Then he again wanted to pronounce the Adhan but the Prophet; said to him, ""Let it become cooler."" The Mu'adh-dhin again wanted to pronounce the Adhan for the prayer but the Prophet said, ""Let it become cooler,"" till the shadows of the hillocks become equal to their sizes. The Prophet added, ""The severity of the heat is from the raging of Hell."""
Sahih Bukhari,1,11,603,Call to Prayer (Adhaan),"Narrated by Malik bin Huwairth: Two men came to the Prophet with the intention of a journey. The Prophet said, ""When (both of) you set out, pronounce Adhan and then Iqama and the oldest of you should lead the prayer."""
Sahih Bukhari,1,11,604,Call to Prayer (Adhaan),"Narrated by Malik: We came to the Prophet and stayed with him for twenty days and nights. We were all young and of about the same age. The Prophet was very kind and merciful. When he realized our longing for our families, he asked about our homes and the people there and we told him. Then he asked us to go back to our families and stay with them and teach them (the religion) and to order them to do good things. He also mentioned some other things which I have (remembered or) forgotten. The Prophet then added, ""Pray as you have seen me praying and when it is the time for the prayer one of you should pronounce the Adhan and the oldest of you should lead the prayer."
Sahih Bukhari,1,11,605,Call to Prayer (Adhaan),"Narrated by Nafi: Once in a cold night, Ibn 'Umar pronounced the Adhan for the prayer at ,Dajnan (the name of a mountain) and then said, ""Pray at your homes"", and informed us that Allah's Apostle used to tell the Mu'adhdin to pronounce Adhan and say, ""Pray at your homes"" at the end of the Adhan on a rainy or a very cold night during the journey."""
Sahih Bukhari,1,11,606,Call to Prayer (Adhaan),"Narrated by 'Aun bin Abi Juhaifa: My father said, ""I saw Allah's Apostle at a place called Al-Abtah. Bilal came and informed him about the prayer and then came out with an Anza and planted it in front of Allah's Apostle at Al-Abtah and pronounced the Iqama."""
Sahih Bukhari,1,11,607,Call to Prayer (Adhaan),"Narrated by 'Aun bin Abi Juhaifa: My father said, ""I saw Bilal turning his face from side to side while pronouncing the Adhan for the prayer."""
Sahih Bukhari,1,11,608,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Abi Qatada: My father said, ""While we were praying with the Prophet he heard the noise of some people. After the prayer he said, 'What is the matter?' They replied 'We were hurrying for the prayer.' He said, 'Do not make haste for the prayer, and whenever you come for the prayer, you should come with calmness, and pray whatever you get (with the people) and complete the rest which you have missed."""
Sahih Bukhari,1,11,609,Call to Prayer (Adhaan),"Narrated by Abu Huraira: The Prophet said, ""When you hear the Iqama, proceed to offer the prayer with calmness and solemnity and do not make haste. And pray whatever you are able to pray and complete whatever you have missed."
Sahih Bukhari,1,11,610,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Abi Qatada: My father said, ""Allah's Apostle said, 'If the Iqama is pronounced then do not stand for the prayer till you see me (in front of you).' """
Sahih Bukhari,1,11,611,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Abi Qatada: My father said, ""Allah's Apostle said, 'If the Iqama is pronounced, then do not stand for the prayer till you see me (in front of you) and do it calmly.' """
Sahih Bukhari,1,11,612,Call to Prayer (Adhaan),Narrated by Abu Huraira: Allah's Apostle went out (of the mosque) when the Iqama had been pronounced and the rows straightened. The Prophet stood at his Musalla (praying place) and we waited for the Prophet to begin the prayer with Takbir. He left and asked us to remain in our places. We kept on standing till the Prophet returned and the water was trickling from his head for he had taken a bath (of Janaba).
Sahih Bukhari,1,11,613,Call to Prayer (Adhaan),"Narrated by Abu Huraira: Once iqama was pronounced and the people had straightened the rows, Allah's Apostle went forward (to lead the prayer) but he was Junub, so he said, ""Remain in your places."" And he went out, took a bath and returned with water trickling from his head. Then he led the prayer."
Sahih Bukhari,1,11,614,Call to Prayer (Adhaan),"Narrated by Jabir bin 'Abdullah: On the day of Al-Khandaq (the trench), 'Umar bin Al-Khattab went to the Prophet and said, ""O Allah's Apostle! By Allah, I could not pray (the 'Asr) till the sun had set."" 'Umar told this to the Prophet at the time when a fasting person had done Iftar (taken his meals). The Prophet then went to Buthan and I was with him. He performed ablution and offered the 'Asr prayer after the sun had set and then the Maghrib prayer."
Sahih Bukhari,1,11,615,Call to Prayer (Adhaan),Narrated by Anas: Once the Iqama was pronounced and the Prophet was talking to a man (in a low voice) in a corner of the mosque and he did not lead the prayer till (some of) the people had slept (dozed in a sitting posture).
Sahih Bukhari,1,11,616,Call to Prayer (Adhaan),Narrated by Anas bin Malik: Once Iqama was pronounced a man came to the Prophet and detained him (from the prayer).
Sahih Bukhari,1,11,617,Call to Prayer (Adhaan),"Narrated by Abu Huraira: Allah's Apostle said, ""By Him in Whose Hand my soul is I was about to order for collecting fire-wood (fuel) and then order Someone to pronounce the Adhan for the prayer and then order someone to lead the prayer then I would go from behind and burn the houses of men who did not present themselves for the (compulsory congregational) prayer. By Him, in Whose Hands my soul is, if anyone of them had known that he would get a bone covered with good meat or two (small) pieces of meat present in between two ribs, he would have turned up for the 'Isha' prayer.'"
Sahih Bukhari,1,11,618,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Umar: Allah's Apostle said, ""The prayer in congregation is twenty seven times superior to the prayer offered by person alone."""
Sahih Bukhari,1,11,619,Call to Prayer (Adhaan),"Narrated by Abu Said Al-Khudri: The Prophet said, ""The prayer in congregation is twenty five times superior to the prayer offered by person alone."""
Sahih Bukhari,1,11,620,Call to Prayer (Adhaan),"Narrated by Abu Huraira: Allah's Apostle said, ""The reward of the prayer offered by a person in congregation is twenty five times greater than that of the prayer offered in one's house or in the market (alone). And this is because if he performs ablution and does it perfectly and then proceeds to the mosque with the sole intention of praying, then for every step he takes towards the mosque, he is upgraded one degree in reward and his one sin is taken off (crossed out) from his accounts (of deeds). When he offers his prayer, the angels keep on asking Allah's Blessings and Allah's forgiveness for him as long as he is (staying) at his Musalla. They say, 'O Allah! Bestow Your blessings upon him, be Merciful and kind to him.' And one is regarded in prayer as long as one is waiting for the prayer."""
Sahih Bukhari,1,11,621,Call to Prayer (Adhaan),"Narrated by Abu Salama bin 'Abdur Rahman: Abu Huraira said, ""I heard Allah's Apostle saying, 'The reward of a prayer in congregation is twenty five times greater than that of a prayer offered by a person alone. The angels of the night and the angels of the day gather at the time of Fajr prayer.' "" Abu Huraira then added, ""Recite the Holy Book if you wish, for ""Indeed, the recitation of the Qur'an in the early dawn (Fajr prayer) is ever witnessed."" (17.18). Narrated 'Abdullah bin 'Umar: The reward of the congregational prayer is twenty seven times greater (than that of the prayer offered by a person alone)."
Sahih Bukhari,1,11,622,Call to Prayer (Adhaan),"Narrated by Salim: I heard Um Ad-Darda' saying, ""Abu Ad-Darda' entered the house in an angry mood. I said to him. 'What makes you angry?' He replied, 'By Allah! I do not find the followers of Muhammad doing those good things (which they used to do before) except the offering of congregational prayer."" (This happened in the last days of Abu Ad-Darda' during the rule of 'Uthman)."
Sahih Bukhari,1,11,623,Call to Prayer (Adhaan),"Narrated by Abu Musa: The Prophet said, ""The people who get tremendous reward for the prayer are those who are farthest away (from the mosque) and then those who are next farthest and so on. Similarly one who waits to pray with the Imam has greater reward than one who prays and goes to bed. """
Sahih Bukhari,1,11,624,Call to Prayer (Adhaan),"Narrated by Abu Huraira: Allah's Apostle said, ""While a man was going on a way, he saw a thorny branch and removed it from the way and Allah became pleased by his action and forgave him for that."" Then the Prophet said, ""Five are martyrs: One who dies of plague, one who dies of an abdominal disease, one who dies of drowning, one who is buried alive (and) dies and one who is killed in Allah's cause."" (The Prophet further said, ""If the people knew the reward for pronouncing the Adhan and for standing in the first row (in the congregational prayer) and found no other way to get it except by drawing lots they would do so, and if they knew the reward of offering the Zuhr prayer early (in its stated time), they would race for it and they knew the reward for 'Isha' and Fajr prayers in congregation, they would attend them even if they were to crawl')."
Sahih Bukhari,1,11,625,Call to Prayer (Adhaan),"Narrated by Humaid: Anas said, ""The Prophet said, 'O Bani Salima! Don't you think that for every step of yours (that you take towards the mosque) there is a reward (while coming for prayer)?"" Mujahid said: ""Regarding Allah's Statement: ""We record that which they have sent before (them), and their traces"" (36.12). 'Their traces' means 'their steps.' "" And Anas said that the people of Bani Salima wanted to shift to a place near the Prophet but Allah's Apostle disliked the idea of leaving their houses uninhabited and said, ""Don't you think that you will get the reward for your footprints."" Mujahid said, ""Their foot prints mean their foot steps and their going on foot."""
Sahih Bukhari,1,11,626,Call to Prayer (Adhaan),"Narrated by Abu Huraira: The Prophet said, ""No prayer is harder for the hypocrites than the Fajr and the 'Isha' prayers and if they knew the reward for these prayers at their respective times, they would certainly present themselves (in the mosques) even if they had to c awl."" The Prophet added, ""Certainly I decided to order the Mu'adh-dhin (call-maker) to pronounce Iqama and order a man to lead the prayer and then take a fire flame to burn all those who had not left their houses so far for the prayer along with their houses."""
Sahih Bukhari,1,11,627,Call to Prayer (Adhaan),"Narrated by Malik bin Huwairith: Prophet said (to two persons), ""Whenever the prayer time becomes due, you should pronounce Adhan and then Iqama and the older of you should lead the prayer."""
Sahih Bukhari,1,11,628,Call to Prayer (Adhaan),"Narrated by Abu Huraira: Allah's Apostle said, ""The angels keep on asking for Allah's Blessing and Forgiveness for anyone of you as long as he is at his Musalla (praying place) and does not do Hadath (passes wind). The angels say, 'O Allah! Forgive him and be Merciful to him.' Each one of you is in the prayer as long as he is waiting for the prayer and nothing but the prayer detains him from going to his family."""
Sahih Bukhari,1,11,629,Call to Prayer (Adhaan),"Narrated by Abu Huraira: The Prophet said, ""Allah will give shade, to seven, on the Day when there will be no shade but His. (These seven persons are) a just ruler, a youth who has been brought up in the worship of Allah (i.e. worships Allah sincerely from childhood), a man whose heart is attached to the mosques (i.e. to pray the compulsory prayers in the mosque in congregation), two persons who love each other only for Allah's sake and they meet and part in Allah's cause only, a man who refuses the call of a charming woman of noble birth for illicit intercourse with her and says: I am afraid of Allah, a man who gives charitable gifts so secretly that his left hand does not know what his right hand has given (i.e. nobody knows how much he has given in charity), and a person who remembers Allah in seclusion and his eyes are then flooded with tears."""
Sahih Bukhari,1,11,630,Call to Prayer (Adhaan),"Narrated by Humaid: Anas was asked, ""Did Allah's Apostle wear a ring?"" He said, ""Yes. Once he delayed the 'Isha' prayer till mid-night and after the prayer, he faced us and said, 'The people prayed and have slept and you remained in prayer as long as you waited for it.' "" Anas added, ""As if I were just now observing the glitter of his ring."""
Sahih Bukhari,1,11,631,Call to Prayer (Adhaan),"Narrated by Abu Huraira: The Prophet said, ""Allah will prepare for him who goes to the mosque (every) morning and in the afternoon (for the congregational prayer) an honorable place in Paradise with good hospitality for (what he has done) every morning and afternoon goings."
Sahih Bukhari,1,11,632,Call to Prayer (Adhaan),"Narrated by Malik Ibn Buhaina: Allah's Apostle passed by a man praying two Rakat after the Iqama (had been pronounced). When Allah's Apostle completed the prayer, the people gathered around him (the Prophet) or that man and Allah's Apostle said to him (protesting), Are there four Rakat in Fajr prayer? Are there four Rakat in Fajr prayer?"""
Sahih Bukhari,1,11,633,Call to Prayer (Adhaan),"Narrated by Al-Aswad: ""We were with 'Aisha discussing the regularity of offering the prayer and dignifying it. She said, 'When Allah's Apostle fell sick with the fatal illness and when the time of prayer became due and Adhan was pronounced, he said, 'Tell Abu Bakr to lead the people in prayer.' He was told that Abu Bakr was a soft-hearted man and would not be able to lead the prayer in his place. The Prophet gave the same order again but he was given the same reply. He gave the order for the third time and said, 'You (women) are the companions of Joseph. Tell Abu Bakr to lead the prayer.' So Abu Bakr came out to lead the prayer. In the meantime the condition of the Prophet improved a bit and he came out with the help of two men one on each side. As if I was observing his legs dragging on the ground owing to the disease. Abu Bakr wanted to retreat but the Prophet beckoned him to remain at his place and the Prophet was brought till he sat beside Abu Bakr."" Al-A'mash was asked, ""Was the Prophet praying and Abu Bakr following him, and were the people following Abu Bakr in that prayer?"" Al-A'mash replied in the affirmative with a nod of his head. Abu Muawiya said, ""The Prophet was sitting on the left side of Abu Bakr who was praying while standing."""
Sahih Bukhari,1,11,634,Call to Prayer (Adhaan),"Narrated by 'Aisha: ""When the Prophet became seriously ill and his disease became aggravated he asked for permission from his wives to be nursed in my house and he was allowed. He came out with the help of two men and his legs were dragging on the ground. He was between Al-Abbas and another man."" 'Ubaid Ullah said, ""I told Ibn 'Abbas what 'Aisha had narrated and he said, 'Do you know who was the (second) man whose name 'Aisha did not mention'"" I said, 'No.' Ibn 'Abbas said, 'He was 'Ali Ibn Abi Talib.' """
Sahih Bukhari,1,11,635,Call to Prayer (Adhaan),"Narrated by Nafi': Once on a very cold and stormy night, Ibn 'Umar pronounced the Adhan for the prayer and then said, ""Pray in your homes."" He (Ibn 'Umar) added. ""On very cold and rainy nights Allah's Apostle used to order the Mu'adhdhin to say, 'Pray in your homes.' """
Sahih Bukhari,1,11,636,Call to Prayer (Adhaan),"Narrated by Mahmuid bin Rabi' Al-Ansari: 'Itban bin Malik used to lead his people (tribe) in prayer and was a blind man, he said to Allah's Apostle , ""O Allah's Apostle! At times it is dark and flood water is flowing (in the valley) and I am blind man, so please pray at a place in my house so that I can take it as a Musalla (praying place)."" So Allah's Apostle went to his house and said, ""Where do you like me to pray?"" 'Itban pointed to a place in his house and Allah's Apostle, offered the prayer there."
Sahih Bukhari,1,11,637,Call to Prayer (Adhaan),"Narrated by 'Abdullah bin Al-Harith: Ibn Abbas addressed us on a (rainy and) muddy day and when the Mu'adh-dhin said, ""Come for the prayer"" Ibn 'Abbas ordered him to say, ""Pray in your homes."" The people began to look at one another with surprise as if they did not like it. Ibn 'Abbas said, ""It seems that you thought ill of it but no doubt it was done by one who was better than I (i.e. the Prophet). It (the prayer) is a strict order and I disliked to bring you out."" Ibn 'Abbas narrated the same as above but he said, ""I did not like you to make you sinful (in refraining from coming to the mosque) and to come (to the mosque) covered with mud up to the knees."""
Sahih Bukhari,1,11,638,Call to Prayer (Adhaan),Narrated by Abu Sa'id Al-Khudri: A cloud came and it rained till the roof started leaking and in those days the roof used to be of the branches of date-palms. Iqama was pronounced and I saw Allah's Apostles prostrating in water and mud and even I saw the mark of mud on his forehead.
Sahih Bukhari,1,11,639,Call to Prayer (Adhaan),"Narrated by Anas bin Sirin: I heard Anas saying, ""A man from Ansar said to the Prophet, 'I cannot pray with you (in congregation).' He was a very fat man and he prepared a meal for the Prophet and invited him to his house. He spread out a mat for the Prophet, and washed one of its sides with water, and the Prophet prayed two Rakat on it."" A man from the family of Al-Jaruid asked, ""Did the Prophet used to pray the Duha (forenoon) prayer?"" Anas said, ""I did not see him praying the Duha prayer except on that day."""
Sahih Bukhari,1,11,640,Call to Prayer (Adhaan),"Narrated by 'Aisha: The Prophet said, ""If supper is served, and Iqama is pronounced one should start with the supper."""
Sahih Bukhari,1,11,641,Call to Prayer (Adhaan),"Narrated by Anas bin Malik: The Prophet said, ""If supper is served, and Iqama is pronounced one should start with the supper."""
Sahih Bukhari,1,11,642,Call to Prayer (Adhaan),"Narrated by Nafi': Ibn 'Umar said, ""Allah's Apostle said, 'If the supper is served for anyone of you and the Iqama is pronounced, start with the supper and don't be in haste (and carry on eating) till you finish it."" If food was served for Ibn 'Umar and Iqama was pronounced, he never came to the prayer till he finished it (i.e. food) in spite of the fact that he heard the recitation (of the Qur'an) by the Imam (in the prayer). Narrated Ibn 'Umar: The Prophet said, ""If anyone of you is having his meals, he should not hurry up till he is; satisfied even if the prayer has been started."""
Sahih Bukhari,1,11,643,Call to Prayer (Adhaan),"Narrated by Ja'far bin 'Amr bin Umaiya: My father said, ""I saw Allah's Apostle eating a piece of meat from the shoulder of a sheep and he was called for the prayer. He stood up, put down the knife and prayed but did not perform ablutilon.''"
Sahih Bukhari,1,11,644,Call to Prayer (Adhaan),"Narrated by Al-Aswad: That he asked 'Aisha ""What did the Prophet use to do in his house?"" She replied, ""He used to keep himself busy serving his family and when it was the time for prayer he would go for it."""
Sahih Bukhari,1,11,645,Call to Prayer (Adhaan),"Narrated by Aiyub: Abu Qilaba said, ""Malik bin Huwairith came to this Mosque of ours and said, 'I pray in front of you and my aim is not to lead the prayer but to show you the way in which the Prophet used to pray.' "" I asked Abu Qilaba,""How did he use to pray?' "" He replied, ""(The Prophet used to pray) like this Sheikh of ours and the Sheikh used to sit for a while after the prostration, before getting up after the first Rak'a. """
Sahih Bukhari,1,11,646,Call to Prayer (Adhaan),"Narrated by Abu Musa: ""The Prophet became sick and when his disease became aggravated, he said, ""Tell Abu Bakr to lead the prayer."" 'Aisha said, ""He is a soft-hearted man and would not be able to lead the prayer in your place."" The Prophet said again, ""Tell Abu Bakr to lead the people in prayer."" She repeated the same reply but he said, ""Tell Abu Bakr to lead the people in prayer. You are the companions of Joseph."" So the messenger went to Abu Bakr (with that order) and he led the people in prayer in the lifetime of the Prophet."
Sahih Bukhari,1,11,647,Call to Prayer (Adhaan),"Narrated by 'Aisha: The mother of the believers: Allah's Apostle in his illness said, ""Tell Abu Bakr to lead the people in prayer."" I said to him, ""If Abu Bakr stands in your place, the people would not hear him owing to his (excessive) weeping. So please order 'Umar to lead the prayer."" 'Aisha added I said to Hafsa, ""Say to him: If Abu Bakr should lead the people in the prayer in your place, the people would not be able to hear him owing to his weeping; so please, order 'Umar to lead the prayer."" Hafsa did so but Allah's Apostle said, ""Keep quiet! You are verily the Companions of Joseph. Tell Abu Bakr to lead the people in the prayer. "" Hafsa said to 'Aisha, ""I never got anything good from you."""
Sahih Bukhari,1,11,648,Call to Prayer (Adhaan),"Narrated by Az-Zuhn: Anas bin Malik Al-Ansari, told me, ""Abu Bakr used to lead the people in prayer during the fatal illness of the Prophet till it was Monday. When the people aligned (in rows) for the prayer the Prophet lifted the curtain of his house and started looking at us and was standing at that time. His face was (glittering) like a page of the Qur'an and he smiled cheerfully. We were about to be put to trial for the pleasure of seeing the Prophet, Abu Bakr retreated to join the row as he thought that the Prophet would lead the prayer. The Prophet beckoned us to complete the prayer and he let the curtain fall. On the same day he died."""
Sahih Bukhari,1,11,649,Call to Prayer (Adhaan),Narrated by Anas: The Prophet did not come out for three days. The people stood for the prayer and Abu Bakr went ahead to lead the prayer. (In the meantime) the Prophet caught hold of the curtain and lifted it. When the face of the Prophet appeared we had never seen a scene more pleasing than the face of the Prophet as it appeared then. The Prophet beckoned to Abu Bakr to lead the people in the prayer and then let the curtain fall. We did not see him (again) till he died.
Sahih Bukhari,1,11,650,Call to Prayer (Adhaan),"Narrated by Hamza bin 'Abdullah: My father said, ""When Allah's Apostle became seriously ill, he was told about the prayer. He said, 'Tell Abu Bakr to lead the people in the prayer.' 'Aisha said, 'Abu Bakr is a soft-hearted man and he would be over-powered by his weeping if he recited the Qur'an.' He said to them, 'Tell him (Abu Bakr) to lead the prayer. The same reply was given to him. He said again, 'Tell him to lead the prayer. You (women) are the companions of Joseph."""
Sahih Bukhari,1,11,651,Call to Prayer (Adhaan),"Narrated by 'Urwa's father: 'Aisha said, ""Allah's Apostle ordered Abu Bakr to lead the people in the prayer during his illness and so he led them in prayer."" 'Urwa, a sub narrator, added, ""Allah's Apostle felt a bit relieved and came out and Abu Bakr was leading the people. When Abu Bakr saw the Prophet he retreated but the Prophet beckoned him to remain there. Allah's Apostle sat beside Abu Bakr. Abu Bakr was following the prayer of Allah's Apostle and the people were following the prayer of Abu Bakr."""
Sahih Bukhari,1,11,652,Call to Prayer (Adhaan),"Narrated by Sahl bin Sa'd As-Sa'idi: Allah's Apostle went to establish peace among Bani 'Amr bin 'Auf. In the meantime the time of prayer was due and the Mu'adh-dhin went to Abu Bakr and said, ""Will you lead the prayer, so that I may pronounce the Iqama?"" Abu Bakr replied in the affirmative and led the prayer. Allah's Apostle came while the people were still praying and he entered the rows of the praying people till he stood in the (first row). The people clapped their hands. Abu Bakr never glanced sideways in his prayer but when the people continued clapping, Abu Bakr looked and saw Allah's Apostle. Allah's Apostle beckoned him to stay at his place. Abu Bakr raised his hands and thanked Allah for that order of Allah's Apostle and then he retreated till he reached the first row. Allah's Apostle went forward and led the prayer. When Allah's Apostle finished the prayer, he said, ""O Abu Bakr! What prevented you from staying when I ordered you to do so?"" Abu Bakr replied, ""How can Ibn Abi Quhafa (Abu Bakr) dare to lead the prayer in the presence of Allah's Apostle?"" Then Allah's Apostle said, ""Why did you clap so much? If something happens to anyone during his prayer he should say Subhan Allah. If he says so he will be attended to, for clapping is for women."""
Sahih Bukhari,1,11,653,Call to Prayer (Adhaan),"Narrated by Malik bin Huwairth: We went to the Prophet and we were all young men and stayed with him for about twenty nights. The Prophet was very merciful. He said, ""When you return home, impart religious teachings to your families and tell them to offer perfectly such and such a prayer at such and such a time and such and such a prayer at such and such a time. And al the time of the prayer one of you should pronounce the Adhan and the oldest of you should lead the prayer."""
Sahih Bukhari,1,11,654,Call to Prayer (Adhaan),"Narrated by Itban bin Malik Al-Ansari: The Prophet (came to my house and) asked permission for entering and I allowed him. He asked, ""Where do you like me to pray in your house?"" I pointed to a place which I liked. He stood up for prayer and we aligned behind him and he finished the prayer with Taslim and we did the same."
Sahih Bukhari,1,11,655,Call to Prayer (Adhaan),"Narrated by 'Ubaid-Ullah Ibn 'Abdullah bin 'Utba: I went to 'Aisha and asked her to describe to me the illness of Allah's Apostle. 'Aisha said, ""Yes. The Prophet became seriously ill and asked whether the people had prayed. We replied, 'No. O Allah's Apostle! They are waiting for you.' He added, 'Put water for me in a trough."" 'Aisha added, ""We did so. He took a bath and tried to get up but fainted. When he recovered, he again asked whether the people had prayed. We said, 'No, they are waiting for you. O Allah's Apostle,' He again said, 'Put water in a trough for me.' He sat down and took a bath and tried to get up but fainted again. Then he recovered and said, 'Have the people prayed?' We replied, 'No, they are waiting for you. O Allah's Apostle.' He said, 'Put water for me in the trough.' Then he sat down and washed himself and tried to get up but he fainted. When he recovered, he asked, 'Have the people prayed?' We said, 'No, they are waiting for you. O Allah's Apostle! The people were in the mosque waiting for the Prophet for the 'Isha prayer. The Prophet sent for Abu Bakr to lead the people in the prayer. The messenger went to Abu Bakr and said, 'Allah's Apostle orders you to lead the people in the prayer.' Abu Bakr was a soft-hearted man, so he asked 'Umar to lead the prayer but 'Umar replied, 'You are more rightful.' So Abu Bakr led the prayer in those days. When the Prophet felt a bit better, he came out for the Zuhr prayer with the help of two persons one of whom was Al-'Abbas. while Abu Bakr was leading the people in the prayer. When Abu Bakr saw him he wanted to retreat but the Prophet beckoned him not to do so and asked them to make him sit beside Abu Bakr and they did so. Abu Bakr was following the Prophet (in the prayer) and the people were following Abu Bakr. The Prophet (prayed) sitting."" 'Ubaid-Ullah added ""I went to 'Abdullah bin 'Abbas and asked him, Shall I tell you what Aisha has told me about the fatal illness of the Prophet?' Ibn 'Abbas said, 'Go ahead. I told him her narration and he did not deny anything of it but asked whether 'Aisha told me the name of the second person (who helped the Prophet ) along with Al-Abbas. I said. 'No.' He said, 'He was 'Ali (Ibn Abi Talib)."
Sahih Bukhari,1,11,656,Call to Prayer (Adhaan),"Narrated by Aisha: The mother of the believers: Allah's Apostle during his illness prayed at his house while sitting whereas some people prayed behind him standing. The Prophet beckoned them to sit down. On completion of the prayer, he said, 'The Imam is to be followed: bow when he bows, raise up your heads (stand erect) when he raises his head and when he says, 'Sami a-l-lahu liman-hamida ' (Allah heard those who sent praises to Him) say then 'Rabbana wa laka-l-hamd' (O our Lord! All the praises are for You), and if he prays sitting then pray sitting."""
Sahih Bukhari,1,11,657,Call to Prayer (Adhaan),"Narrated by Anas bin Malik: Once Allah's Apostle rode a horse and fell down and the right side (of his body) was injured. He offered one of the prayers while sitting and we also prayed behind him sitting. When he completed the prayer, he said, ""The Imam is to be followed. Pray standing if he prays standing and bow when he bows; rise when he rises; and if he says, 'Sami a-l-lahu-liman hamida, say then, 'Rabbana wa Lakal-hamd' and pray standing if he prays standing and pray sitting (all of you) if he prays sitting."" Humaid said: The saying of the Prophet ""Pray sitting, if he (Imam) prays sitting"" was said in his former illness (during his early life) but the Prophet prayed sitting afterwards (in the last illness) and the people were praying standing behind him and the Prophet did not order them to sit. We should follow the latest actions of the Prophet."
